,,,,,
Incorporated Cities and Census Designated Places (CDP) by County in California,,,,,
Geography,Total Population,Land Area in Square Miles,Population Per Square Mile (Land Area),,Geoid
California,"39,538,223","155,858.3",254,,0400000US06
Alameda County,"1,682,353",737.5,"2,281",,0500000US06001
Alameda city,"78,280",10.4,"7,492",,1600000US0600562
Albany city,"20,271",1.8,"11,325",,1600000US0600674
Ashland CDP,"23,823",1.8,"12,929",,1600000US0602980
Berkeley city,"124,321",10.4,"11,917",,1600000US0606000
Castro Valley CDP,"66,441",16.8,"3,943",,1600000US0611964
Cherryland CDP,"15,808",1.2,"13,247",,1600000US0612902
Dublin city,"72,589",15.2,"4,767",,1600000US0620018
Emeryville city,"12,905",1.3,"10,136",,1600000US0622594
Fairview CDP,"11,341",3.0,"3,813",,1600000US0623350
Fremont city,"230,504",78.3,"2,943",,1600000US0626000
Hayward city,"162,954",45.8,"3,557",,1600000US0633000
Livermore city,"87,955",26.4,"3,326",,1600000US0641992
Newark city,"47,529",13.9,"3,415",,1600000US0650916
Oakland city,"440,646",55.9,"7,878",,1600000US0653000
Piedmont city,"11,270",1.7,"6,630",,1600000US0656938
Pleasanton city,"79,871",24.1,"3,309",,1600000US0657792
San Leandro city,"91,008",13.3,"6,831",,1600000US0668084
San Lorenzo CDP,"29,581",3.0,"9,713",,1600000US0668112
Sunol CDP,922,28.3,33,,1600000US0677042
Union City city,"70,143",19.2,"3,657",,1600000US0681204
Alpine County,"1,204",738.3,2,,0500000US06003
Alpine Village CDP,224,4.1,55,,1600000US0601228
Bear Valley CDP,128,5.2,25,,1600000US0604716
Kirkwood CDP,108,2.5,44,,1550000US0638646003
Markleeville CDP,191,6.5,29,,1600000US0645988
Mesa Vista CDP,217,4.9,45,,1600000US0647086
Amador County,"40,474",594.6,68,,0500000US06005
Amador City city,200,0.3,646,,1600000US0601514
Amador Pines CDP,"1,118",4.9,231,,1600000US0601518
Buckhorn CDP,"2,597",4.9,527,,1600000US0608680
Buena Vista CDP,542,1.7,321,,1600000US0608828
Camanche North Shore CDP,"1,070",2.3,459,,1600000US0610042
Camanche Village CDP,964,5.4,177,,1600000US0610044
Drytown CDP,186,3.3,57,,1600000US0619976
Fiddletown CDP,279,4.6,61,,1600000US0623980
Ione city,"5,141",4.6,"1,123",,1600000US0636672
Jackson city,"5,019",3.6,"1,401",,1600000US0636980
Kirkwood CDP,82,1.9,44,,1550000US0638646005
Lockwood CDP,495,5.4,91,,1600000US0642142
Martell CDP,207,2.2,95,,1600000US0646100
Pine Grove CDP,"2,891",7.5,386,,1600000US0657148
Pioneer CDP,"1,066",3.9,271,,1600000US0657330
Plymouth city,"1,078",2.6,407,,1600000US0657834
Red Corral CDP,"1,687",6.3,268,,1600000US0659896
River Pines CDP,390,0.2,"1,926",,1600000US0661124
Sutter Creek city,"2,646",2.7,981,,1600000US0677392
Volcano CDP,104,1.4,74,,1600000US0683094
Butte County,"211,632","1,636.5",129,,0500000US06007
Bangor CDP,695,13.4,52,,1600000US0603792
Berry Creek CDP,"1,637",57.1,29,,1600000US0606070
Biggs city,"1,964",0.9,"2,195",,1600000US0606560
Butte Creek Canyon CDP,780,20.5,38,,1600000US0609310
Butte Meadows CDP,74,2.1,35,,1600000US0609318
Butte Valley CDP,945,18.3,52,,1600000US0609324
Cherokee CDP,88,1.8,50,,1600000US0612818
Chico city,"101,475",34.1,"2,972",,1600000US0613014
Clipper Mills CDP,160,1.7,92,,1600000US0614148
Cohasset CDP,830,25.0,33,,1600000US0614442
Concow CDP,402,27.4,15,,1600000US0616035
Durham CDP,"5,834",81.7,71,,1600000US0620270
Forbestown CDP,396,6.3,63,,1600000US0624750
Forest Ranch CDP,"1,304",13.9,94,,1600000US0624918
Gridley city,"7,421",2.1,"3,557",,1600000US0631260
Honcut CDP,306,4.2,72,,1600000US0634428
Kelly Ridge CDP,"3,006",2.0,"1,540",,1600000US0638024
Magalia CDP,"7,795",14.0,556,,1600000US0645120
Nord CDP,286,2.1,136,,1600000US0651574
Oroville city,"20,042",13.8,"1,449",,1600000US0654386
Oroville East CDP,"8,038",21.6,372,,1600000US0654388
Palermo CDP,"5,555",29.2,190,,1600000US0655086
Paradise town,"4,764",18.3,260,,1600000US0655520
Rackerby CDP,210,3.0,71,,1600000US0659115
Richvale CDP,234,0.9,252,,1600000US0660662
Robinson Mill CDP,89,1.3,68,,1600000US0662200
South Oroville CDP,"3,235",2.7,"1,218",,1600000US0673178
Stirling City CDP,284,1.2,241,,1600000US0674186
Thermalito CDP,"7,198",12.7,566,,1600000US0678470
Yankee Hill CDP,260,6.0,43,,1600000US0686678
Calaveras County,"45,292","1,020.0",44,,0500000US06009
Angels city,"3,667",3.6,"1,010",,1600000US0602112
Arnold CDP,"3,288",9.1,363,,1600000US0602770
Avery CDP,636,2.1,302,,1600000US0603316
Copperopolis CDP,"3,400",15.6,218,,1600000US0616210
Dorrington CDP,519,4.1,127,,1600000US0619570
Forest Meadows CDP,"1,276",3.8,339,,1600000US0624897
Mokelumne Hill CDP,691,3.1,224,,1600000US0648480
Mountain Ranch CDP,223,3.9,57,,1600000US0649628
Murphys CDP,"1,995",4.2,472,,1600000US0650034
Rail Road Flat CDP,316,9.1,35,,1600000US0659220
Rancho Calaveras CDP,"5,590",8.4,667,,1600000US0659426
San Andreas CDP,"2,994",8.4,357,,1600000US0664420
Vallecito CDP,442,2.1,212,,1600000US0681652
Valley Springs CDP,"3,779",4.0,946,,1600000US0681890
Wallace CDP,479,4.3,112,,1600000US0683304
West Point CDP,688,3.0,232,,1600000US0684732
Colusa County,"21,839","1,150.7",19,,0500000US06011
Arbuckle CDP,"3,484",1.8,"1,979",,1600000US0602420
College City CDP,292,2.9,100,,1600000US0614554
Colusa city,"6,411",3.4,"1,872",,1600000US0614946
Grimes CDP,296,2.3,131,,1600000US0631288
Lodoga CDP,184,3.4,54,,1600000US0642230
Maxwell CDP,"1,067",2.2,496,,1600000US0646338
Princeton CDP,309,1.5,212,,1600000US0658758
Stonyford CDP,133,1.4,95,,1600000US0675154
Williams city,"5,538",4.9,"1,120",,1600000US0685586
Contra Costa County,"1,165,927",716.9,"1,626",,0500000US06013
Acalanes Ridge CDP,"1,285",0.5,"2,788",,1600000US0600135
Alamo CDP,"15,314",9.8,"1,560",,1600000US0600618
Alhambra Valley CDP,805,1.6,499,,1600000US0600898
